Byte_Position,Bit_1_Count,Bit_0_Count
378880,8192,0
379904,8192,0
380928,8192,0
381952,8192,0
382976,8192,0
384000,8192,0
385024,8192,0
386048,8192,0
387072,8192,0
388096,8192,0
389120,8192,0
390144,8192,0
391168,8192,0
392192,8192,0
393216,8192,0
394240,8192,0
395264,8192,0
396288,8192,0
397312,8192,0
398336,8192,0
399360,8192,0
400384,8192,0
401408,8192,0
402432,8192,0
403456,8192,0
404480,8192,0
405504,8192,0
406528,8192,0
407552,8192,0
408576,8192,0
409600,8192,0
410624,8192,0
411648,8192,0
412672,8192,0
413696,8192,0
414720,8192,0
415744,8192,0
416768,8192,0
417792,6364,1828
418816,4068,4124
419840,4071,4121
420864,4131,4061
421888,4150,4042
422912,4062,4130
423936,4069,4123
424960,4075,4117
425984,4096,4096
427008,4087,4105
428032,4049,4143
429056,4077,4115
430080,4137,4055
431104,4103,4089
432128,4123,4069
433152,4118,4074
434176,4054,4138
435200,4139,4053
436224,4076,4116
437248,4162,4030
438272,4216,3976
439296,4093,4099
440320,4152,4040
441344,4160,4032
442368,4084,4108
443392,4091,4101
444416,4065,4127
445440,7418,774
446464,8192,0
447488,8192,0
448512,8192,0
449536,8192,0
450560,8192,0
451584,8192,0
452608,8192,0
453632,8192,0
454656,8192,0
455680,8192,0
456704,8192,0
457728,8192,0
458752,8192,0
459776,8192,0
460800,8192,0
461824,8192,0
462848,8192,0
463872,8192,0
464896,8192,0
465920,8192,0
466944,8192,0
467968,8192,0
468992,8192,0
470016,8192,0
471040,8192,0
472064,8192,0
473088,8192,0
474112,8192,0
475136,8192,0
476160,8192,0
477184,8192,0
478208,8192,0
479232,8192,0
480256,8192,0
481280,8192,0
482304,8192,0
483328,8192,0
484352,8192,0
485376,8192,0
486400,8192,0
487424,8192,0
488448,8192,0
489472,8192,0
490496,8192,0
491520,8192,0
492544,8192,0
493568,8192,0
494592,8192,0
495616,8192,0
496640,8192,0
497664,8192,0
498688,8192,0
499712,8192,0
500736,8192,0
501760,8192,0
502784,8192,0
503808,8192,0
504832,8192,0
505856,8192,0
506880,8192,0
507904,8192,0
508928,8192,0
509952,8192,0
510976,8192,0
512000,8192,0
513024,8192,0
514048,8192,0
515072,8192,0
516096,8192,0
517120,8192,0
518144,8192,0
519168,8192,0
520192,8192,0
521216,8192,0
522240,8192,0
523264,8192,0
524288,8192,0
525312,8192,0
526336,8192,0
527360,8192,0
528384,8192,0
529408,8192,0
530432,8192,0
531456,8192,0
532480,8192,0
533504,8192,0
534528,8192,0
535552,8192,0
536576,8192,0
537600,8192,0
538624,8192,0
539648,8192,0
540672,8192,0
541696,8192,0
542720,8192,0
543744,8192,0
544768,8192,0
545792,8192,0
546816,8192,0
547840,8192,0
548864,8192,0
549888,8192,0
550912,8192,0
551936,8192,0
552960,8192,0
553984,8192,0
555008,8192,0
556032,8192,0
557056,8192,0
558080,8192,0
559104,8192,0
560128,8192,0
561152,8192,0
562176,8192,0
563200,8192,0
564224,8192,0
565248,8192,0
566272,8192,0
567296,8192,0
568320,8192,0
569344,8192,0
570368,8192,0
571392,8192,0
572416,8192,0
573440,8192,0
574464,8192,0
575488,8192,0
576512,8192,0
577536,8192,0
578560,8192,0
579584,8192,0
580608,8192,0
581632,8192,0
582656,8192,0
583680,8192,0
584704,8192,0
585728,8192,0
586752,8192,0
587776,8192,0
588800,8192,0
589824,8192,0
590848,8192,0
591872,8192,0
592896,8192,0
593920,8192,0
594944,8192,0
595968,8192,0
596992,8192,0
598016,8192,0
599040,8192,0
600064,8192,0
601088,8192,0
602112,8192,0
603136,8192,0
604160,8192,0
605184,8192,0
606208,8192,0
607232,8192,0
608256,8192,0
609280,8192,0
610304,8192,0
611328,8192,0
612352,8192,0
613376,8192,0
614400,8192,0
615424,8192,0
616448,8192,0
617472,8192,0
618496,8192,0
619520,8192,0
620544,8192,0
621568,8192,0
622592,8192,0
623616,8192,0
624640,8192,0
625664,8192,0
626688,4039,4153
627712,5157,3035
628736,8192,0
629760,8192,0
630784,8192,0
631808,8192,0
632832,8192,0
633856,8192,0
634880,8192,0
635904,8192,0
636928,8192,0
637952,8192,0
638976,8192,0
640000,8192,0
641024,8192,0
642048,8192,0
643072,8192,0
644096,8192,0
645120,8192,0
646144,8192,0
647168,8192,0
648192,8192,0
649216,8192,0
650240,8192,0
651264,8192,0
652288,8192,0
653312,8192,0
654336,8192,0
655360,8192,0
656384,8192,0
657408,8192,0
658432,8192,0
659456,8192,0
660480,8192,0
661504,8192,0
662528,8192,0
663552,8192,0
664576,8192,0
665600,8192,0
666624,8192,0
667648,8192,0
668672,8192,0
669696,8192,0
670720,8192,0
671744,8192,0
672768,8192,0
673792,8192,0
674816,8192,0
675840,8192,0
676864,8192,0
677888,8192,0
678912,8192,0
679936,8192,0
680960,8192,0
681984,8192,0
683008,8192,0
684032,8192,0
685056,8192,0
686080,8192,0
687104,8192,0
688128,8192,0
689152,8192,0
690176,8192,0
691200,8192,0
692224,8192,0
693248,8192,0
694272,8192,0
695296,8192,0
696320,8192,0
697344,8192,0
698368,8192,0
699392,8192,0
700416,8192,0
701440,8192,0
702464,8192,0
703488,8192,0
704512,8192,0
705536,8192,0
706560,8192,0
707584,8192,0
708608,8192,0
709632,8192,0
710656,8192,0
711680,8192,0
712704,8192,0
713728,8192,0
714752,8192,0
715776,8192,0
716800,8192,0
717824,8192,0
718848,8192,0
719872,8192,0
720896,8192,0
721920,8192,0
722944,8192,0
723968,8192,0
724992,8192,0
726016,8192,0
727040,8192,0
728064,8192,0
729088,8192,0
730112,8192,0
731136,8192,0
732160,8192,0
733184,8192,0
734208,8192,0
735232,8192,0
736256,8192,0
737280,8192,0
738304,8192,0
739328,8192,0
740352,8192,0
741376,8192,0
742400,8192,0
743424,8192,0
744448,8192,0
745472,8192,0
746496,8192,0
747520,8192,0
748544,8192,0
749568,8192,0
750592,8192,0
751616,8192,0
752640,8192,0
753664,8192,0
754688,8192,0
755712,8192,0
756736,8192,0
757760,8192,0
758784,8192,0
759808,8192,0
760832,8192,0
761856,8192,0
762880,8192,0
763904,8192,0
764928,8192,0
765952,8192,0
766976,8192,0
768000,8192,0
769024,8192,0
770048,8192,0
771072,8192,0
772096,8192,0
773120,8192,0
774144,8192,0
775168,8192,0
776192,8192,0
777216,8192,0
778240,8192,0
779264,8192,0
780288,8192,0
781312,8192,0
782336,8192,0
783360,8192,0
784384,8192,0
785408,8192,0
786432,8192,0
787456,8192,0
788480,8192,0
789504,8192,0
790528,8192,0
791552,8192,0
792576,8192,0
793600,8192,0
794624,8192,0
795648,8192,0
796672,8192,0
797696,8192,0
798720,8192,0
799744,8192,0
800768,8192,0
801792,8192,0
802816,8192,0
803840,8192,0
804864,8192,0
805888,8192,0
806912,8192,0
807936,8192,0
808960,8192,0
809984,8192,0
811008,8192,0
812032,8192,0
813056,8192,0
814080,8192,0
815104,8192,0
816128,8192,0
817152,8192,0
818176,8192,0
819200,8192,0
820224,8192,0
821248,8192,0
822272,8192,0
823296,8192,0
824320,8192,0
825344,8192,0
826368,8192,0
827392,8192,0
828416,8192,0
829440,8192,0
830464,8192,0
831488,8192,0
832512,8192,0
833536,8192,0
834560,6073,2119
835584,8192,0
836608,8192,0
837632,8192,0
838656,8192,0
839680,8192,0
840704,8192,0
841728,8192,0
842752,8192,0
843776,8192,0
844800,8192,0
845824,8192,0
846848,8192,0
847872,8192,0
848896,8192,0
849920,8192,0
850944,8192,0
851968,8192,0
852992,8192,0
854016,8192,0
855040,8192,0
856064,8192,0
857088,8192,0
858112,8192,0
859136,8192,0
860160,8192,0
861184,8192,0
862208,8192,0
863232,8192,0
864256,8192,0
865280,8192,0
866304,8192,0
867328,8192,0
868352,8192,0
869376,8192,0
870400,8192,0
871424,8192,0
872448,8192,0
873472,8192,0
874496,8192,0
875520,8192,0
876544,8192,0
877568,8192,0
878592,8192,0
879616,8192,0
880640,8192,0
881664,8192,0
882688,8192,0
883712,8192,0
884736,8192,0
885760,8192,0
886784,8192,0
887808,8192,0
888832,8192,0
889856,8192,0
890880,8192,0
891904,8192,0
892928,8192,0
893952,8192,0
894976,8192,0
896000,8192,0
897024,8192,0
898048,8192,0
899072,8192,0
900096,8192,0
901120,8192,0
902144,8192,0
903168,8192,0
904192,8192,0
905216,8192,0
906240,8192,0
907264,8192,0
908288,8192,0
909312,8192,0
910336,8192,0
911360,8192,0
912384,8192,0
913408,8192,0
914432,8192,0
915456,8192,0
916480,8192,0
917504,8192,0
918528,8192,0
919552,8192,0
920576,8192,0
921600,8192,0
922624,8192,0
923648,8192,0
924672,8192,0
925696,8192,0
926720,8192,0
927744,8192,0
928768,8192,0
929792,8192,0
930816,8192,0
931840,8192,0
932864,8192,0
933888,8192,0
934912,8192,0
935936,8192,0
936960,8192,0
937984,8192,0
939008,8192,0
940032,8192,0
941056,8192,0
942080,8192,0
943104,8192,0
944128,8192,0
945152,8192,0
946176,8192,0
947200,8192,0
948224,8192,0
949248,8192,0
950272,8192,0
951296,8192,0
952320,8192,0
953344,8192,0
954368,8192,0
955392,8192,0
956416,8192,0
957440,8192,0
958464,8192,0
959488,8192,0
960512,8192,0
961536,8192,0
962560,8192,0
963584,8192,0
964608,8192,0
965632,8192,0
966656,8192,0
967680,8192,0
968704,8192,0
969728,8192,0
970752,8192,0
971776,8192,0
972800,8192,0
973824,8192,0
974848,8192,0
975872,8192,0
976896,8192,0
977920,8192,0
978944,8192,0
979968,8192,0
980992,8192,0
982016,8192,0
983040,8192,0
984064,8192,0
985088,8192,0
986112,8192,0
987136,8192,0
988160,8192,0
989184,8192,0
990208,8192,0
991232,8192,0
992256,8192,0
993280,8192,0
994304,8192,0
995328,8192,0
996352,8192,0
997376,8192,0
998400,8192,0
999424,8192,0
1000448,8192,0
