Byte_Position,Bit_1_Count,Bit_0_Count
772096,4137,4055
773120,4064,4128
774144,4048,4144
775168,4123,4069
776192,4104,4088
777216,3909,4283
778240,3842,4350
779264,3845,4347
780288,4073,4119
781312,4174,4018
782336,4164,4028
783360,4157,4035
784384,4197,3995
785408,4068,4124
786432,4039,4153
787456,3987,4205
788480,4176,4016
789504,4122,4070
790528,4120,4072
791552,4095,4097
792576,4134,4058
793600,3886,4306
794624,3846,4346
795648,7029,1163
796672,8192,0
797696,8192,0
798720,8192,0
799744,7380,812
800768,4008,4184
801792,4113,4079
802816,4124,4068
803840,4082,4110
804864,4156,4036
805888,4099,4093
806912,4099,4093
807936,4157,4035
808960,3984,4208
809984,4089,4103
811008,4088,4104
812032,4055,4137
813056,4045,4147
814080,4098,4094
815104,4061,4131
816128,4088,4104
817152,4076,4116
818176,4005,4187
819200,4093,4099
820224,4091,4101
821248,4083,4109
822272,4038,4154
823296,4118,4074
824320,4116,4076
825344,4134,4058
826368,4158,4034
827392,4172,4020
828416,4098,4094
829440,4087,4105
830464,4111,4081
831488,4152,4040
832512,4049,4143
833536,4100,4092
834560,4114,4078
835584,3941,4251
836608,3869,4323
837632,4136,4056
838656,4132,4060
839680,4054,4138
840704,4022,4170
841728,4034,4158
842752,4136,4056
843776,4058,4134
844800,4113,4079
845824,4027,4165
846848,4009,4183
847872,3952,4240
848896,4267,3925
849920,8192,0
850944,8192,0
851968,8192,0
852992,8192,0
854016,8192,0
855040,8192,0
856064,4248,3944
857088,4089,4103
858112,4064,4128
859136,4015,4177
860160,4234,3958
861184,4101,4091
862208,4054,4138
863232,4053,4139
864256,4069,4123
865280,4102,4090
866304,4131,4061
867328,4070,4122
868352,4099,4093
869376,4128,4064
870400,4086,4106
871424,4075,4117
872448,4003,4189
873472,3811,4381
874496,8192,0
875520,8192,0
876544,8192,0
877568,6872,1320
878592,4081,4111
879616,4079,4113
880640,4074,4118
881664,4110,4082
882688,4090,4102
883712,4115,4077
884736,4114,4078
885760,4109,4083
886784,4089,4103
887808,4087,4105
888832,4023,4169
889856,4069,4123
890880,4120,4072
891904,4062,4130
892928,4091,4101
893952,4116,4076
894976,4053,4139
896000,4074,4118
897024,4033,4159
898048,4178,4014
899072,4104,4088
900096,4129,4063
901120,4129,4063
902144,4161,4031
903168,4171,4021
904192,4014,4178
905216,3897,4295
906240,5190,3002
907264,8192,0
908288,8192,0
909312,8192,0
910336,8192,0
911360,5495,2697
912384,4125,4067
913408,3999,4193
914432,4108,4084
915456,3988,4204
916480,4112,4080
917504,4107,4085
918528,4088,4104
919552,4094,4098
920576,4129,4063
921600,4048,4144
922624,3990,4202
923648,3885,4307
924672,6540,1652
925696,8192,0
926720,8192,0
927744,8192,0
928768,8192,0
929792,8192,0
930816,8192,0
931840,8192,0
932864,8192,0
933888,4016,4176
934912,4080,4112
935936,4114,4078
936960,4152,4040
937984,3988,4204
939008,4148,4044
940032,4128,4064
941056,4006,4186
942080,4041,4151
943104,4041,4151
944128,4085,4107
945152,4108,4084
946176,4075,4117
947200,4011,4181
948224,3979,4213
949248,4109,4083
950272,4134,4058
951296,4151,4041
952320,4185,4007
953344,4066,4126
954368,4137,4055
955392,4108,4084
956416,4173,4019
957440,3995,4197
958464,3997,4195
959488,4087,4105
960512,4142,4050
961536,4156,4036
962560,3917,4275
963584,5365,2827
964608,8192,0
965632,8192,0
966656,4866,3326
967680,5913,2279
968704,8192,0
969728,8192,0
970752,8192,0
971776,8192,0
972800,8192,0
973824,8192,0
974848,8192,0
975872,8192,0
976896,8192,0
977920,5097,3095
978944,7513,679
979968,8192,0
980992,8192,0
982016,8192,0
983040,8192,0
984064,8192,0
985088,8192,0
986112,8192,0
987136,8192,0
988160,8192,0
989184,5036,3156
990208,4068,4124
991232,4076,4116
992256,4124,4068
993280,4095,4097
994304,4084,4108
995328,4027,4165
996352,3986,4206
997376,4066,4126
998400,3956,4236
999424,4058,4134
1000448,4008,4184
1001472,4095,4097
1002496,4110,4082
1003520,4056,4136
1004544,4050,4142
1005568,4126,4066
1006592,4177,4015
1007616,4137,4055
1008640,4181,4011
1009664,3990,4202
1010688,4144,4048
1011712,4048,4144
1012736,4064,4128
1013760,4059,4133
1014784,4098,4094
1015808,4066,4126
1016832,4153,4039
1017856,3998,4194
1018880,3910,4282
1019904,8192,0
1020928,8192,0
1021952,6140,2052
1022976,4113,4079
1024000,4068,4124
1025024,4081,4111
1026048,4196,3996
1027072,3960,4232
1028096,4038,4154
1029120,4119,4073
1030144,4134,4058
1031168,4163,4029
1032192,4061,4131
1033216,4093,4099
1034240,4157,4035
1035264,4101,4091
1036288,4103,4089
1037312,4130,4062
1038336,3953,4239
1039360,5520,2672
1040384,8192,0
1041408,8192,0
1042432,8192,0
1043456,8192,0
1044480,4507,3685
1045504,4042,4150
1046528,4109,4083
1047552,4119,4073
1048576,4148,4044
1049600,4165,4027
1050624,4105,4087
1051648,4092,4100
1052672,4140,4052
1053696,4086,4106
1054720,4106,4086
1055744,4062,4130
1056768,4145,4047
1057792,4053,4139
1058816,4040,4152
1059840,4129,4063
1060864,3972,4220
1061888,4145,4047
1062912,4091,4101
1063936,4113,4079
1064960,4050,4142
1065984,4024,4168
1067008,4210,3982
1068032,4136,4056
1069056,4144,4048
1070080,4079,4113
1071104,4028,4164
1072128,4040,4152
1073152,3990,4202
1074176,5386,2806
1075200,8192,0
1076224,8192,0
1077248,7388,804
1078272,3990,4202
1079296,4126,4066
